*** COEFFICIENTS ***

Coefficients Data 		 Q7.8 Data 		 Hex Data
-0.01633210 			 -0.01562500 		 FFFC
-0.01951336 			 -0.01953125 		 FFFB
-0.02479891 			 -0.02343750 		 FFFA
-0.02944119 			 -0.03125000 		 FFF8
-0.02821396 			 -0.02734375 		 FFF9
-0.01416088 			 -0.01562500 		 FFFC
0.02005995 			 0.01953125 		 0005
0.08048343 			 0.08203125 		 0015
0.17014774 			 0.17187500 		 002C
0.28778726 			 0.28906250 		 004A
0.42723322 			 0.42578125 		 006D
0.57771692 			 -0.42187500 		 FF94
0.72509080 			 -0.27343750 		 FFBA
0.85379104 			 -0.14453125 		 FFDB
0.94920363 			 -0.05078125 		 FFF3
0.99000000 			 -0.01171875 		 FFFD
0.99000000 			 -0.01171875 		 FFFD
0.94920363 			 -0.05078125 		 FFF3
0.85379104 			 -0.14453125 		 FFDB
0.72509080 			 -0.27343750 		 FFBA
0.57771692 			 -0.42187500 		 FF94
0.42723322 			 0.42578125 		 006D
0.28778726 			 0.28906250 		 004A
0.17014774 			 0.17187500 		 002C
0.08048343 			 0.08203125 		 0015
0.02005995 			 0.01953125 		 0005
-0.01416088 			 -0.01562500 		 FFFC
-0.02821396 			 -0.02734375 		 FFF9
-0.02944119 			 -0.03125000 		 FFF8
-0.02479891 			 -0.02343750 		 FFFA
-0.01951336 			 -0.01953125 		 FFFB
-0.01633210 			 -0.01562500 		 FFFC
